视频文件地址,视频ocr结果,视频asr结果,是否违规,线索内容,商品类别,获取时间,直播间链接,直播间名称
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_413.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,是一样的还有就是刚过了四十岁咱们就感觉有劳模花的包括咱们六十来岁的家人朋友有一些白某这样七抹光的咱们都抓紧时间了因为平时你去看个什么白过画白褂也会跟你说要多补充一个叶黄素对不对咱们家每一颗叶黄素都给大家含了五点零四毫克的烟火素质哦一项其他品牌一颗才含了零点几毫克或者一两毫克咱们家一颗月黄素是顶别人家两三颗的一天只需要吃两颗咱们家叶黄素就像那咱们一天吃了一天吃了七个胡萝卜和一百四十二克的西兰花和四十克的芹菜和胡金莱妹相当于这么多水果蔬菜给大家带来了个银河养狼给大家带来一个叶黄素的一个银行氧更何况你光是买五斤蓝莓你都不止咱们今天这个价格对不对来主播给大家讲一下机制啊咱平时线下都是卖九十九米一瓶的一个价格大家都可以去某样某店都可以去看啊今天在主播直播间直接给大九块九来炸一波好不好来一号链接大抓紧刷些手速直接去拍啊九块九就可以拍回去咱们整整一大片的叶黄素啊,是,"{'type': 1, 'content': {'通用敏感词': '炸一波'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_413.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,是一样的还有就是刚过了四十岁咱们就感觉有劳模花的包括咱们六十来岁的家人朋友有一些白某障这样七抹光的咱们都抓紧时间了因为平时你去看个什么白过画白褂也会跟你说要多补充一个叶黄素对不对咱们家每一颗叶黄素都给大家含了五点零四毫克的烟火素质哦一项其他品牌一颗才含了零点几毫克或者一两毫克咱们家一颗月黄素是顶别人家两三颗的一天只需要吃两颗咱们家叶黄素就像那咱们一天吃了一天吃了七个胡萝卜和一百四十二克的西兰花和四十克的芹菜和胡金莱妹相当于这么多水果蔬菜给大家带来了个银河养狼给大家带来一个叶黄素的一个银行氧更何况你光是买五斤蓝莓你都不止咱们今天这个价格对不对来主播给大家讲一下机制啊咱平时线下都是卖九十九米一瓶的一个价格大家都可以去某样某店都可以去看啊今天在主播直播间直接给大九块九来炸一波好不好来一号链接大抓紧刷些手速直接去拍啊九块九就可以拍回去咱们整整一大片的叶黄素啊,是,"{'type': 2, 'content': {'匹配对': {'变体词': '白某障', '原词': '白内障'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_274.mp4, 华潤三九 999 CR SANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,要补充到的是咱们心灵之窗的一个银河妖这个性价比是没得说这个性价比是很高的啊来一号链接最后只能固成咱们都抓紧刷些手速截去拍好不好准备哥哥姐姐们大家要去买叶黄素真的就是要看含量哦大拍回去的咱们家每一颗叶黄素都会给大家韩老十点八每一颗都给他喊每一颗都给他喊了五点零四毫克每一份啊就每两克给大家喊了十点八毫克的叶红素质哦一天只需要吃两颗咱们家叶黄素就相当于一天吃了七根胡萝卜和一百四十二克的新兰花和四十克的芹菜和五斤蓝莓你要知道谁一天能吃这么多水果蔬菜呢对不对更何况你光是买五斤蓝莓你都不止九块九的一个价格哦大家可以去看一下其他的一个红素啊大家可以先去了解一下其他叶黄素他一颗才有的一毫克或者两毫克对不对咱们家每一颗月黄色都给大家含了十点八毫克的夜黄素质哦这个性价比是很高的而且咱们家叶红素含量是高高的很够的,是,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_274.mp4, 华潤三九 999 CR SANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,要补充到的是咱们心灵之窗的一个银河妖这个性价比是没得说这个性价比是很高的啊来一号链接最后只能固成咱们都抓紧刷些手速截去拍好不好准备哥哥姐姐们大家要去买叶黄素真的就是要看含量哦大拍回去的咱们家每一颗叶黄素都会给大家韩老十点八每一颗都给他喊每一颗都给他喊了五点零四毫克每一份啊就每两克给大家喊了十点八毫克的叶红素质哦一天只需要吃两颗咱们家叶黄素就相当于一天吃了七根胡萝卜和一百四十二克的新兰花和四十克的芹菜和五斤蓝莓你要知道谁一天能吃这么多水果蔬菜呢对不对更何况你光是买五斤蓝莓你都不止九块九的一个价格哦大家可以去看一下其他的一个红素啊大家可以先去了解一下其他叶黄素他一颗才有的一毫克或者两毫克对不对咱们家每一颗月黄色都给大家含了十点八毫克的夜黄素质哦这个性价比是很高的而且咱们家叶红素含量是高高的很够的,是,"{'type': 2, 'content': {'匹配对': {'变体词': '身身体体', '原词': '身体'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_292.mp4, 华洞三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,对吧尤其刚刚你们主播有讲到四十还算五十还算六十来岁对不对所以咱们都要抓紧养护起来咱们早买早补充早买早享受不要说等咱们的新列装从小问题拖成了大问题你再去后悔你就只能去找白龙挂对不对白一号链接大刷点双星手术直接去拍啊马上到咱们结单发货的时间哦今天咱们的货也都会要出去所以还没有抢到一号链接的江水吧来先没有库存了对不对来愿意这样子再给大家去加两根裤子好不好最后两单库存拍完就直接下播了好不好最后两单库存一号链接大刷新一下别就会了他没有抢到一号链接的加入朋友们一号链接咱们抓紧手速直接去抢最后两单库存来最后姐妹下个单媒没付款的咱们就直接踢库存哦有很多朋友都是有需要拍不到对不对所以下单没付款咱们就直接踢库存了来一号链接刷新手速直接去拍就可以了啊欢迎新进来直播间家人朋友啊今天是咱们华润三九九叶黄素的专场直播间那九九呢就是咱们平时所了解到的九十九魔干某,是,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_500.mp4, 华潤三九 999 CR SANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,咱们就一天吃一片一天吃一片咱们做一个日常的养护日常的一个补充就可以了如果说咱们是已经有一些什么啊有一些什么啊有一些胃光有一些红丝丝包括咱们平时可能有一些老母花青某光白某症的咱们就一天多加一片一天吃两片一天吃两片作为一个主动的出击主动的干预奥尤其是咱们直播间有一些家人朋友四十来岁五十三岁六十来岁的年加入的大都注意起来哦因为这个年龄阶段啊正在处于咱们新年之窗体的一个高发期高发期所以咱们如果自己你都不去重视只会让咱们这个心电装一个问题继续去加深继续去上涨对不对真的就没有必要不然就只能去找白木瓜你找白瓜啊那就是要做那个省保送那也不划算对不对如果白过怪你去找他他也会跟你说要多补充一个月黄素啊所以这个才是更省心更省心更省钱更省力的一个方法来这边加美一号链接但能拍两天直接去拍两天能拍六瓶别去拍六瓶因为咱们两个月才是一个周和期两瓶咱们是可以吃,是,"{'type': 2, 'content': {'匹配对': {'变体词': '青某光', '原词': '青光眼'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_238.mp4, 华潤三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,如果说咱们已经出现了像什么眼睛有微光有红丝丝迎风泪啊有些青某光白某症老母花的包括咱们的心灵窗要带咱们的一个镜地框框的咱们就一天多加一片一天吃两片一天吃两片咱们作为一个日常的补充作为一个日常的维护就可以了好不好啊一天吃两片就是主动的出击主动的堪主动的一个干预对不对啊欢迎新进来直播间家人们新进来直播间一号链接大哥抓紧手速可以直接去看啊来主播给大家讲一下咱们这件机制好不好咱们平时线下都是九十九米一瓶的一个价格今天在主播直播间直接给大家九块九来炸一波好不好来一号链接大家抓紧手速直接去拍就可以了九块九这个价格咱们品牌补贴哦只给大家申请到了最后还有十单的库存拍完秒完主就直接下不了欢迎佳丽啊进来直播间所以呢大家都抓紧手速直接去拍最后几栏库存拍完表完主播就直接下播了你明天再来后天再来咱还真不一定有这个价格对不对并且咱们家叶黄送含量是够够,是,"{'type': 2, 'content': {'匹配对': {'变体词': '青某光', '原词': '青光眼'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_252.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,大一们等咱们那个新的装出现了什么各种跟那些小问题小题崽崽后悔就来不及了好不好来这边家人们一号链接最后几辆酷暑大家可以先去拍拍完回来有什么不懂的再回来问主播都是没问题的主播咱们售前售后都是给大家安排上的咱们该有的时候都是有的好不好别加有的时候咱们都是有的所以大家都可以放心去拍放心去买就可以了啊你像咱们直播间家人朋友有一些长时间会熬夜啊长时间刷上刷电脑看手机啊经常感觉到眼睛不舒服眼干眼色眼皮老的眼睛卫国有红丝是有因锋利的尤其有一些朋友可能有一些飞某症眼睛像长得头发丝一样的还有就是刚过了四十岁咱们就感觉有老母花的包括咱们六十来岁的家人朋友有些白某这样七抹光的咱们都抓紧时间了因为平时你去看个什么白过画白褂也会跟你说要多补充一个月红素对不对咱们家每一可夜黄素都给大家很了五点零四毫克的烟火素质哦你像其他品牌一颗才含了零点几毫克或者一两毫克咱们在一颗叶黄素是顶别人,是,"{'type': 2, 'content': {'匹配对': {'变体词': '飞某症', '原词': '飞蚊症'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_109.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,那个大几天大几百米去做那个神保送那也不划算嘛对不对啊所以大家去选择一款对咱们心灵之窗好的叶黄素是很有必要的今天大家拍回去的全部都是咱们九居九夜王送哦九九燕黄素就是我们经常在某样某店看到的九九魔干某暴力同一个品牌都是华润三九出品的华润三九央集大品牌世界五百强并且咱们家叶黄做这个配料表刚刚净净除了叶黄素质之外咱们海力大添加了蓝莓黑枸杞菊花第 HA维胜速 C等等都是对咱们新进之中特别有帮助的一些饮料成分啊并且咱们家每一颗叶黄素都给大家含了五点零四毫克的叶黄素质一天只需要吃两颗咱们家叶黄素就补充到了十点八毫克的优胜塑了人体一天对叶黄素的需求就是十到十二毫克所以一天只需要吃两颗咱们家叶黄素就补充到了十点八毫克的一个叶黄素质了所以大家都可以放心的去拍放心的去买好不好来这边叫人们一号链接大家抓紧刷新手速一天只需要吃两颗咱们家叶黄素就像那咱们,否,"{'type': 2, 'content': {'匹配对': {'变体词': '几百米', '原词': '几百元'}, '匹配方式': '人工'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
/home/bjut/live_analyzer/DouyinLiveRecorder/downloads/抖音直播/999柚美保健品专卖店/999柚美保健品专卖店_2024-04-02_21-56-39_190.mp4, 华網三九 999 CRSANJIU 为爱专注为家守护 999 国民大品牌 中老年叶黄素（无蔗糖） 重视眼部健康 品牌补贴 9.9元一瓶 眼疲劳|模糊|视力下降|流泪血丝 ,叶红色就补充到了十点八毫克的一个叶黄素质了所以大家都可以放心的去拍放心的去买好不好来这边家人们一号链接大家抓紧刷新手速一天只需要吃两颗咱们家叶黄素就相当于咱们一天吃了七根胡萝卜和一百四十二克的西兰花和四十克的芹菜和五斤蓝莓你要知道你光是买五斤蓝莓你都不止咱们一号链接这个价格对不对来主播给大家讲一下咱们电机制哦大家平时确实咱们线下咱们去某样某店都可以去看咱一瓶都是九十九一瓶的一个价格今天在主播直播间直接来给大家九块九来炸一波好不好来新进来这边家们一号链接大家抓紧刷新手速直接去拍就可以了好不好最后简单库存拍完秒完主播就直接下播了咱们评审一天只需要吃那么一两片不分早中晚饭前吃饭后吃都是可以的好不好来这位朋友问怎么吃对不对主播教一下大怎么吃嗷如果说哥姐姐们我们单纯的只是用眼过度有些干干涩涩酸胀肿痒的爱揉眼睛爱眨眼睛的眼睛这情况的咱们就一天一片一天一片,否,"{'type': 1, 'content': {'通用敏感词': '最后'}}",保健品,2024/4/16 12:47,https://live.douyin.com/318049846181,999柚美保健品专卖店
