类型,关键词,法条,主责部门,类别
禁售,长江野生鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江野鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江白鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江刀鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江鯝鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江河豚,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江鮰鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江鲫鱼,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江江鲶,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
禁售,长江江团,《电子商务法》第十三条 《渔业法》（2013年）     第三十条  禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止使用小于最小网目尺寸的网具进行捕捞。捕捞的渔获物中幼鱼不得超过规定的比例。     在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。 《长江保护法》（2020年）     第五十三条　国家对长江流域重点水域实行严格捕捞管理。在长江流域水生生物保护区全面禁止生产性捕捞；在国家规定的期限内，长江干流和重要支流、大型通江湖泊、长江河口规定区域等重点水域全面禁止天然渔业资源的生产性捕捞。     国务院农业农村主管部门会同国务院有关部门和长江流域省级人民政府加强长江流域禁捕执法工作，严厉查处电鱼、毒鱼、炸鱼等破坏渔业资源和生态环境的捕捞行为。 《国务院办公厅关于切实做好长江流域禁捕有关工作的通知》（国办发明电〔2020〕21号）,配合渔业行政主管部门,非法捕捞的渔获物
